==========> Fault Simulation Begins at                    0 
Test Vector number           0 is:  000001000100100111011110001011111110 
Detected fault : s@1  SerialFS_TB.FUT._0865_.Y
Detected fault : s@1  SerialFS_TB.FUT._0867_.A
Detected fault : s@0  SerialFS_TB.FUT._0872_.A
Detected fault : s@1  SerialFS_TB.FUT._0917_.Y
Detected fault : s@1  SerialFS_TB.FUT._0961_.Y
Detected fault : s@0  SerialFS_TB.FUT._0962_.Y
Detected fault : s@1  SerialFS_TB.FUT._0963_.A
Detected fault : s@1  SerialFS_TB.FUT._0963_.B
Detected fault : s@1  SerialFS_TB.FUT._0965_.Y
Detected fault : s@0  SerialFS_TB.FUT._0965_.B
Detected fault : s@1  SerialFS_TB.FUT._0974_.Y
Detected fault : s@0  SerialFS_TB.FUT._0974_.A
Detected fault : s@0  SerialFS_TB.FUT._0981_.Y
Detected fault : s@0  SerialFS_TB.FUT._0982_.A
Detected fault : s@0  SerialFS_TB.FUT._0982_.B
Detected fault : s@1  SerialFS_TB.FUT._0984_.Y
Detected fault : s@0  SerialFS_TB.FUT._0985_.Y
Detected fault : s@1  SerialFS_TB.FUT._0985_.A
Detected fault : s@1  SerialFS_TB.FUT._0998_.A
Detected fault : s@1  SerialFS_TB.FUT._0999_.B
Detected fault : s@1  SerialFS_TB.FUT._1000_.Y
Detected fault : s@0  SerialFS_TB.FUT._1002_.B
Detected fault : s@1  SerialFS_TB.FUT._1004_.B
Detected fault : s@0  SerialFS_TB.FUT._1058_.Y
Detected fault : s@1  SerialFS_TB.FUT._1059_.Y
Detected fault : s@0  SerialFS_TB.FUT._1060_.Y
Detected fault : s@0  SerialFS_TB.FUT._1071_.A
Detected fault : s@0  SerialFS_TB.FUT._1071_.B
Detected fault : s@0  SerialFS_TB.FUT._1080_.B
Detected fault : s@1  SerialFS_TB.FUT._1082_.B
Detected fault : s@1  SerialFS_TB.FUT._1106_.B
Detected fault : s@1  SerialFS_TB.FUT._1110_.Y
Detected fault : s@1  SerialFS_TB.FUT._1111_.A
Detected fault : s@0  SerialFS_TB.FUT._1112_.Y
Detected fault : s@1  SerialFS_TB.FUT._1113_.Y
Detected fault : s@0  SerialFS_TB.FUT._1114_.Y
Detected fault : s@0  SerialFS_TB.FUT._1115_.A
Detected fault : s@0  SerialFS_TB.FUT._1116_.A
Detected fault : s@0  SerialFS_TB.FUT._1116_.B
Detected fault : s@0  SerialFS_TB.FUT._1119_.B
Detected fault : s@0  SerialFS_TB.FUT._1120_.Y
Detected fault : s@0  SerialFS_TB.FUT._1134_.A
Detected fault : s@1  SerialFS_TB.FUT._1142_.Y
Detected fault : s@0  SerialFS_TB.FUT._1164_.B
Detected fault : s@1  SerialFS_TB.FUT._1165_.Y
Detected fault : s@0  SerialFS_TB.FUT._1173_.Y
Detected fault : s@0  SerialFS_TB.FUT._1183_.Y
Detected fault : s@0  SerialFS_TB.FUT._1190_.Y
Detected fault : s@0  SerialFS_TB.FUT._1191_.A
Detected fault : s@0  SerialFS_TB.FUT._1192_.Y
Detected fault : s@1  SerialFS_TB.FUT._1199_.Y
Detected fault : s@1  SerialFS_TB.FUT._1200_.A
Detected fault : s@1  SerialFS_TB.FUT._1201_.Y
Detected fault : s@0  SerialFS_TB.FUT._1209_.Y
Detected fault : s@0  SerialFS_TB.FUT._1212_.A
Detected fault : s@1  SerialFS_TB.FUT._1213_.Y
Detected fault : s@0  SerialFS_TB.FUT._1220_.Y
Detected fault : s@0  SerialFS_TB.FUT._1221_.A
Detected fault : s@0  SerialFS_TB.FUT._1222_.Y
Detected fault : s@1  SerialFS_TB.FUT._1231_.Y
Detected fault : s@1  SerialFS_TB.FUT._1232_.A
Detected fault : s@1  SerialFS_TB.FUT._1233_.Y
Detected fault : s@1  SerialFS_TB.FUT._1242_.Y
Detected fault : s@1  SerialFS_TB.FUT._1243_.A
Detected fault : s@1  SerialFS_TB.FUT._1244_.Y
Detected fault : s@1  SerialFS_TB.FUT._1247_.Y
Detected fault : s@1  SerialFS_TB.FUT._1248_.A
